Time,v1,Lat1,Lon1,x1,y1,v2,Lat2,Lon2,x2,y2,v3,Lat3,Lon3,x3,y3,IVS1,IVS2,Driver1,Driver2,Driver3,segment
57681.4,29.79772207899752,0.7838459929638402,0.1468694147109714,13467.213777121533,-9422.69071766785,29.961999989499876,0.7838442810563836,0.1468613931339214,13431.354151762478,-9422.680597057575,29.672082378921075,0.7838429296819193,0.1468548538648372,13401.73472904884,-9422.703292150949,33.41752368191695,26.308047460020013,Human,ACC,ACC,9
57681.5,29.75598112639181,0.7838461209999491,0.1468700469997479,13470.189265958279,-9422.689635475963,29.989290166491195,0.783844408876824,0.1468620379850197,13434.383150096552,-9422.695984804874,29.68618117104075,0.7838430578980076,0.14685548518377,13404.705607772963,-9422.699617920804,33.364433125354644,26.366062882269038,Human,ACC,ACC,9
57681.6,29.71554191173623,0.7838462485401102,0.1468706787735746,13473.16088664446,-9422.69063393617,30.01811497435621,0.7838445367963093,0.1468626827817403,13437.412090202854,-9422.710704934712,29.700999993958582,0.7838431867349418,0.1468561170035976,13407.679760960933,-9422.692776501073,33.30747318321204,26.42074668288562,Human,ACC,ACC,9
57681.7,29.675067882975217,0.7838463755308369,0.1468713100933697,13476.129016811274,-9422.69416557375,30.04789469359275,0.7838446648591577,0.1468633275152246,13440.441011102255,-9422.724475490953,29.716404896749665,0.7838433162657462,0.1468567494138732,13410.65770771833,-9422.682434189268,33.24696049652664,26.471623773029304,Human,ACC,ACC,9
57681.8,29.63251445765974,0.7838465019999498,0.1468719409997484,13479.094280434134,-9422.700231591232,30.07804960469862,0.7838447931096879,0.146863972176614,13443.469951815632,-9422.73701451746,29.73214862020686,0.7838434463574142,0.1468573824196425,13413.639234768894,-9422.669407468933,33.183469387559,26.51895537208288,Human,ACC,ACC,9
57681.9,29.58650673321972,0.7838466280287555,0.1468725714353708,13482.056923145377,-9422.708380462758,30.107999988171617,0.7838449215922186,0.1468646167570499,13446.498951363861,-9422.748040058106,29.74795557801864,0.783843576825432,0.1468580160048246,13416.623945740712,-9422.654800370477,33.117208379652055,26.5631830429876,Human,ACC,ACC,9
57682.0,29.53834852980629,0.7838467539125086,0.1468732009510766,13485.015677203222,-9422.71634974678,30.137170973977017,0.7838450503376926,0.1468652612656362,13449.528103362083,-9422.757373975926,29.763550183873445,0.7838437074852859,0.1468586501533383,13419.611444261856,-9422.639716924288,33.04686908002844,26.60479830235734,Human,ACC,ACC,9
57682.1,29.490013349052266,0.7838468799999496,0.1468738289997498,13487.968896521925,-9422.7214242723,30.16500708997313,0.7838451793235487,0.1468659057833262,13452.557719802706,-9422.765253411175,29.778656851459704,0.7838438381524621,0.1468592848491026,13422.601333960403,-9422.625261160774,32.97057026573606,26.64450693526504,Human,ACC,ACC,9
57682.2,29.44310124529677,0.7838470065247968,0.1468744552126801,13490.915425898496,-9422.721771817993,30.19095771349736,0.7838453085138501,0.1468665504090359,13455.58816727255,-9422.772019323531,29.792999994465884,0.7838439686424465,0.1468599200760363,13425.59321846443,-9422.612537110334,32.88684816618955,26.683067205030657,Human,ACC,ACC,9
57682.3,29.39771848191679,0.7838471332606768,0.146875079934779,13493.85607366333,-9422.719091965524,30.21447222188706,0.7838454378726598,0.1468671952416812,13458.619812358424,-9422.778012672667,29.806393878306483,0.7838440988067691,0.1468605557968522,13428.586673121492,-9422.602403308647,32.79611100279166,26.72126460459806,Human,ACC,ACC,9
